HOG	selected_transcripts	exon_counts	protein_lengths	gene_counts	transcript_counts	worst_transcript	worst_pair	blast_pident	align_pident
N0.HOG0004466	SBOV2_89180.2, SCUR1_87700.1, SGUI1_89400.3, SHAE2_94340.1, SINT2_87000.1, SRDH2_91810.1, Smp_078550.1, EWB00_001964	6, 4, 5, 6, 6, 6, 6, 4	1577, 852, 1187, 1581, 1578, 1569, 1581, 996	1, 1, 1, 1, 1, 1, 1, 1	2, 1, 4, 1, 2, 1, 1, 1	SCUR1_87700.1	SCUR1_87700.1, SRDH2_91810.1	92.1	52.32632249840663
N0.HOG0005082	SBOV2_91980.2, SCUR1_91350.1, SGUI1_92980.1, SHAE2_98000.1, SINT2_90540.1, SRDH2_95970.1, Smp_300490.1, EWB00_005095	7, 7, 8, 8, 7, 8, 8, 7	2570, 2688, 2927, 2943, 2923, 2904, 2966, 2593	1, 1, 1, 1, 1, 1, 1, 1	2, 4, 1, 1, 1, 1, 1, 1	SBOV2_91980.2	SBOV2_91980.2, SGUI1_92980.1	93.9	87.42740006832935
N0.HOG0005081	SBOV2_91830.1, SCUR1_91510.1, SGUI1_93140.1, SHAE2_102670.1, SINT2_90700.1, SRDH2_96130.2, Smp_246150.1, EWB00_007421.1	18, 16, 16, 16, 16, 16, 16, 15	698, 714, 714, 714, 714, 728, 728, 586	1, 1, 1, 1, 1, 1, 1, 1	1, 1, 1, 2, 1, 3, 1, 2	EWB00_007421.1	SRDH2_96130.2, EWB00_007421.1	65.3	75.27472527472527
N0.HOG0005080	SBOV2_9170.1, SCUR1_9290.1, SGUI1_8670.1, SHAE2_11270.1, SINT2_9110.1, SRDH2_9720.1, Smp_322890.1, EWB00_006556	4, 4, 4, 4, 4, 4, 4, 4	380, 378, 380, 380, 380, 376, 376, 383	1, 1, 2, 1, 1, 1, 1, 1	4, 1, 2, 1, 1, 1, 1, 1	SBOV2_9170.1	SBOV2_9170.1, SCUR1_9290.1	99.2	99.73684210526315
N0.HOG0005079	SBOV2_91540.1, SCUR1_91750.1, SGUI1_93390.1, SHAE2_98370.1, SINT2_90980.1, SRDH2_96350.2, Smp_175640.1, EWB00_005525.1	8, 8, 8, 8, 8, 8, 8, 8	898, 901, 898, 895, 811, 901, 879, 825	1, 1, 1, 1, 1, 1, 1, 1	1, 1, 2, 1, 1, 3, 1, 2	SINT2_90980.1	SINT2_90980.1, Smp_175640.1	89.6	86.68941979522185
N0.HOG0005078	SBOV2_91500.1, SCUR1_91780.1, SGUI1_93350.1, SHAE2_98400.1, SINT2_91010.1, SRDH2_96380.1, Smp_097380.1, EWB00_005520.1	4, 3, 4, 4, 4, 3, 4, 3	103, 91, 103, 103, 103, 91, 103, 93	1, 1, 1, 1, 1, 1, 1, 1	1, 1, 1, 1, 1, 1, 1, 5	EWB00_005520.1	SBOV2_91500.1, EWB00_005520.1	88.2	82.52427184466019
N0.HOG0005077	SBOV2_91420.1, SCUR1_91050.1, SGUI1_92780.1, SHAE2_97670.1, SINT2_90410.1, SRDH2_95560.1, Smp_248030.1, EWB00_009159.2	3, 4, 3, 3, 3, 3, 3, 3	451, 380, 451, 451, 451, 451, 451, 348	1, 1, 1, 1, 1, 1, 1, 1	1, 1, 1, 1, 1, 1, 1, 5	EWB00_009159.2	SBOV2_91420.1, EWB00_009159.2	80.9	76.71840354767184
N0.HOG0005076	SBOV2_91290.1, SCUR1_90920.1, SGUI1_92660.1, SHAE2_97810.1, SINT2_90290.1, SRDH2_95360.1, Smp_164050.1, EWB00_000373	9, 9, 9, 9, 9, 9, 9, 9	580, 580, 578, 578, 578, 586, 587, 539	1, 2, 1, 1, 1, 1, 1, 1	1, 2, 1, 1, 4, 1, 1, 1	EWB00_000373	Smp_164050.1, EWB00_000373	81.1	89.9488926746167
N0.HOG0005075	SBOV2_91160.1, SCUR1_90640.11, SGUI1_92480.1, SHAE2_97400.1, SINT2_90120.1, SRDH2_95110.1, Smp_163970.1, EWB00_004963.1	10, 10, 10, 20, 10, 10, 10, 8	501, 501, 501, 753, 501, 501, 501, 414	1, 2, 1, 1, 1, 1, 1, 1	1, 3, 1, 1, 1, 1, 1, 3	SHAE2_97400.1	SHAE2_97400.1, EWB00_004963.1	75.9	52.98804780876494
N0.HOG0005074	SBOV2_91120.1, SCUR1_90690.2, SGUI1_92450.1, SHAE2_97370.1, SINT2_90080.1, SRDH2_95080.1, Smp_248010.1, EWB00_004965.1	6, 6, 6, 6, 6, 6, 6, 9	497, 364, 500, 490, 502, 416, 425, 587	1, 1, 1, 2, 1, 1, 1, 1	1, 2, 1, 2, 1, 2, 1, 2	EWB00_004965.1	SCUR1_90690.2, EWB00_004965.1	72.7	52.4701873935264
