Genome project	Gene stable ID	ID
strongyloides_stercoralis_prjeb528	SSTP_0000000100	PF00246
strongyloides_stercoralis_prjeb528	SSTP_0000000200	PF00385
strongyloides_stercoralis_prjeb528	SSTP_0000000400	PF10246
strongyloides_stercoralis_prjeb528	SSTP_0000000800	
strongyloides_stercoralis_prjeb528	SSTP_0000001000	PF00078
strongyloides_stercoralis_prjeb528	SSTP_0000001050	
strongyloides_stercoralis_prjeb528	SSTP_0000001100	
strongyloides_stercoralis_prjeb528	SSTP_0000001750	
strongyloides_stercoralis_prjeb528	SSTP_0000004400	
strongyloides_stercoralis_prjeb528	SSTP_0000004500	
strongyloides_stercoralis_prjeb528	SSTP_0000004800	PF17906
strongyloides_stercoralis_prjeb528	SSTP_0000004800	PF13412
strongyloides_stercoralis_prjeb528	SSTP_0000004800	PF01359
strongyloides_stercoralis_prjeb528	SSTP_0000005300	
strongyloides_stercoralis_prjeb528	SSTP_0000005500	
strongyloides_stercoralis_prjeb528	SSTP_0000005600	PF00078
strongyloides_stercoralis_prjeb528	SSTP_0000005700	
strongyloides_stercoralis_prjeb528	SSTP_0000005800	PF00078
strongyloides_stercoralis_prjeb528	SSTP_0000005900	
strongyloides_stercoralis_prjeb528	SSTP_0000006200	
strongyloides_stercoralis_prjeb528	SSTP_0000006300	PF00078
strongyloides_stercoralis_prjeb528	SSTP_0000006500	PF01400
strongyloides_stercoralis_prjeb528	SSTP_0000006600	
strongyloides_stercoralis_prjeb528	SSTP_0000006700	
strongyloides_stercoralis_prjeb528	SSTP_0000006900	PF00385
strongyloides_stercoralis_prjeb528	SSTP_0000007000	
strongyloides_stercoralis_prjeb528	SSTP_0000007100	
strongyloides_stercoralis_prjeb528	SSTP_0000007200	
strongyloides_stercoralis_prjeb528	SSTP_0000007300	
strongyloides_stercoralis_prjeb528	SSTP_0000008300	
strongyloides_stercoralis_prjeb528	SSTP_0000008800	PF01094
strongyloides_stercoralis_prjeb528	SSTP_0000010000	PF01399
strongyloides_stercoralis_prjeb528	SSTP_0000012100	PF03567
strongyloides_stercoralis_prjeb528	SSTP_0000012200	PF03567
strongyloides_stercoralis_prjeb528	SSTP_0000012300	PF03567
strongyloides_stercoralis_prjeb528	SSTP_0000012500	PF03567
strongyloides_stercoralis_prjeb528	SSTP_0000013600	PF03031
strongyloides_stercoralis_prjeb528	SSTP_0000013600	PF01697
strongyloides_stercoralis_prjeb528	SSTP_0000013700	
strongyloides_stercoralis_prjeb528	SSTP_0000015300	
strongyloides_stercoralis_prjeb528	SSTP_0000015500	PF01096
strongyloides_stercoralis_prjeb528	SSTP_0000015500	PF02150
strongyloides_stercoralis_prjeb528	SSTP_0000015600	PF10559
strongyloides_stercoralis_prjeb528	SSTP_0000015600	PF00344
strongyloides_stercoralis_prjeb528	SSTP_0000016000	PF05383
strongyloides_stercoralis_prjeb528	SSTP_0000016650	
strongyloides_stercoralis_prjeb528	SSTP_0000017800	PF08265
strongyloides_stercoralis_prjeb528	SSTP_0000019000	
strongyloides_stercoralis_prjeb528	SSTP_0000019200	
strongyloides_stercoralis_prjeb528	SSTP_0000019300	PF00102
strongyloides_stercoralis_prjeb528	SSTP_0000019400	
strongyloides_stercoralis_prjeb528	SSTP_0000021200	
strongyloides_stercoralis_prjeb528	SSTP_0000022750	
strongyloides_stercoralis_prjeb528	SSTP_0000024000	PF00168
strongyloides_stercoralis_prjeb528	SSTP_0000025000	PF01111
strongyloides_stercoralis_prjeb528	SSTP_0000030200	PF01060
strongyloides_stercoralis_prjeb528	SSTP_0000031600	
strongyloides_stercoralis_prjeb528	SSTP_0000031700	
strongyloides_stercoralis_prjeb528	SSTP_0000031800	PF07679
strongyloides_stercoralis_prjeb528	SSTP_0000032500	PF12295
strongyloides_stercoralis_prjeb528	SSTP_0000032800	PF05823
strongyloides_stercoralis_prjeb528	SSTP_0000035150	
